tick_index,sumo_time_index,active_vehicles,chs,stand_alones,members,tvct,avg_tvct
0,1601,48,13,1,34,47,47.0
1,1602,49,14,0,35,3,25.0
2,1603,49,14,0,35,1,17.0
3,1604,49,14,0,35,0,12.75
4,1605,50,14,0,36,2,10.6
5,1606,48,13,0,35,4,9.5
6,1607,48,13,0,35,1,8.285714285714286
7,1608,49,14,0,35,4,7.75
8,1609,49,14,0,35,1,7.0
9,1610,49,14,1,34,2,6.5
10,1611,49,14,1,34,2,6.090909090909091
11,1612,50,14,2,34,3,5.833333333333333
12,1613,50,14,2,34,0,5.384615384615385
13,1614,49,14,2,33,1,5.071428571428571
14,1615,50,13,4,33,3,4.933333333333334
15,1616,47,13,5,29,5,4.9375
16,1617,47,13,4,30,1,4.705882352941177
17,1618,48,13,5,30,0,4.444444444444445
18,1619,47,13,6,28,2,4.315789473684211
19,1620,47,13,6,28,0,4.1
20,1621,47,12,7,28,2,4.0
21,1622,48,12,8,28,0,3.8181818181818183
22,1623,48,12,6,30,4,3.8260869565217392
23,1624,47,12,5,30,0,3.6666666666666665
24,1625,48,12,7,29,1,3.56
25,1626,48,12,6,30,8,3.730769230769231
26,1627,48,12,6,30,0,3.5925925925925926
27,1628,47,12,5,30,1,3.5
28,1629,48,12,5,31,1,3.413793103448276
29,1630,48,12,5,31,1,3.3333333333333335
30,1631,48,12,5,31,0,3.225806451612903
31,1632,48,12,5,31,1,3.15625
32,1633,48,12,5,31,1,3.090909090909091
33,1634,48,12,5,31,2,3.0588235294117645
34,1635,48,12,6,30,0,2.9714285714285715
35,1636,48,12,6,30,1,2.9166666666666665
36,1637,47,12,6,29,2,2.891891891891892
37,1638,47,12,6,29,0,2.8157894736842106
38,1639,48,12,7,29,4,2.8461538461538463
39,1640,48,12,9,27,2,2.825
40,1641,48,12,14,22,6,2.902439024390244
41,1642,49,12,14,23,1,2.857142857142857
42,1643,49,12,14,23,0,2.7906976744186047
43,1644,48,11,14,23,1,2.75
44,1645,49,12,14,23,2,2.7333333333333334
45,1646,49,12,15,22,1,2.6956521739130435
46,1647,49,12,15,22,0,2.6382978723404253
47,1648,48,12,12,24,2,2.625
48,1649,48,12,7,29,8,2.7346938775510203
49,1650,48,12,9,27,9,2.86
50,1651,48,12,8,28,2,2.843137254901961
51,1652,49,12,7,30,3,2.8461538461538463
52,1653,48,12,4,32,3,2.849056603773585
53,1654,48,12,3,33,3,2.8518518518518516
54,1655,48,12,3,33,1,2.8181818181818183
55,1656,49,12,3,34,2,2.8035714285714284
56,1657,49,12,3,34,1,2.7719298245614037
57,1658,49,12,3,34,0,2.7241379310344827
58,1659,49,12,3,34,4,2.7457627118644066
59,1660,49,12,2,35,1,2.716666666666667
