,rsu,TR,weights_s,weights_m,n_veh,n_buses,n_sav,n_chs,stab_eval
0,yes,100,"[0.5, 0.5, 0.0]",[0. 0. 1.],49,5,1.2333333333333334,36.25,0.12570645558504542
1,yes,100,"[0.5, 0.5, 0.0]",[0.  0.1 0.9],49,5,1.2333333333333334,36.25,0.12570645558504542
2,yes,100,"[0.5, 0.5, 0.0]",[0.  0.2 0.8],49,5,1.2333333333333334,36.25,0.1266006433644791
3,yes,100,"[0.5, 0.5, 0.0]",[0.  0.3 0.7],49,5,1.2333333333333334,36.25,0.1266006433644791
4,yes,100,"[0.5, 0.5, 0.0]",[0.  0.4 0.6],49,5,1.2333333333333334,36.25,0.1266006433644791
5,yes,100,"[0.5, 0.5, 0.0]",[0.  0.5 0.5],49,5,1.2333333333333334,36.25,0.1266006433644791
6,yes,100,"[0.5, 0.5, 0.0]",[0.  0.6 0.4],49,5,1.25,36.166666666666664,0.13833221831597364
7,yes,100,"[0.5, 0.5, 0.0]",[0.  0.7 0.3],49,5,1.25,36.166666666666664,0.13710022626430945
8,yes,100,"[0.5, 0.5, 0.0]",[0.  0.8 0.2],49,5,1.25,36.166666666666664,0.13710022626430945
9,yes,100,"[0.5, 0.5, 0.0]",[0.  0.9 0.1],49,5,1.25,36.166666666666664,0.136661049662223
10,yes,100,"[0.5, 0.5, 0.0]",[0. 1. 0.],49,5,1.25,36.166666666666664,0.13554238349232736
11,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.  0.9],49,5,1.2333333333333334,36.25,0.12570645558504542
12,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.1 0.8],49,5,1.2333333333333334,36.25,0.12570645558504542
13,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.2 0.7],49,5,1.2333333333333334,36.25,0.1266006433644791
14,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.3 0.6],49,5,1.2333333333333334,36.25,0.1266006433644791
15,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.4 0.5],49,5,1.2333333333333334,36.25,0.1266006433644791
16,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.5 0.4],49,5,1.25,36.166666666666664,0.12671986840173693
17,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.6 0.3],49,5,1.25,36.166666666666664,0.13710022626430945
18,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.7 0.2],49,5,1.25,36.166666666666664,0.13710022626430945
19,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.8 0.1],49,5,1.25,36.166666666666664,0.136661049662223
20,yes,100,"[0.5, 0.5, 0.0]",[0.1 0.9 0. ],49,5,1.25,36.166666666666664,0.13554238349232736
21,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.  0.8],49,5,1.2333333333333334,36.25,0.12570645558504542
22,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.1 0.7],49,5,1.2333333333333334,36.25,0.12570645558504542
23,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.2 0.6],49,5,1.2333333333333334,36.25,0.1266006433644791
24,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.3 0.5],49,5,1.2333333333333334,36.25,0.1266006433644791
25,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.4 0.4],49,5,1.2333333333333334,36.25,0.1266006433644791
26,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.5 0.3],49,5,1.25,36.166666666666664,0.13833221831597364
27,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.6 0.2],49,5,1.25,36.166666666666664,0.13710022626430945
28,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.7 0.1],49,5,1.25,36.166666666666664,0.136661049662223
29,yes,100,"[0.5, 0.5, 0.0]",[0.2 0.8 0. ],49,5,1.25,36.166666666666664,0.13574821539627246
30,yes,100,"[0.5, 0.5, 0.0]",[0.3 0.  0.7],49,5,1.2333333333333334,36.25,0.12570645558504542
31,yes,100,"[0.5, 0.5, 0.0]",[0.3 0.1 0.6],49,5,1.2333333333333334,36.25,0.12570645558504542
32,yes,100,"[0.5, 0.5, 0.0]",[0.3 0.2 0.5],49,5,1.2333333333333334,36.25,0.1266006433644791
33,yes,100,"[0.5, 0.5, 0.0]",[0.3 0.3 0.4],49,5,1.2333333333333334,36.25,0.1266006433644791
34,yes,100,"[0.5, 0.5, 0.0]",[0.3 0.4 0.3],49,5,1.25,36.166666666666664,0.13833221831597364
35,yes,100,"[0.5, 0.5, 0.0]",[0.3 0.5 0.2],49,5,1.25,36.166666666666664,0.13710022626430945
36,yes,100,"[0.5, 0.5, 0.0]",[0.3 0.6 0.1],49,5,1.25,36.166666666666664,0.136661049662223
37,yes,100,"[0.5, 0.5, 0.0]",[0.3 0.7 0. ],49,5,1.25,36.166666666666664,0.13574821539627246
38,yes,100,"[0.5, 0.5, 0.0]",[0.4 0.  0.6],49,5,1.2333333333333334,36.25,0.12570645558504542
39,yes,100,"[0.5, 0.5, 0.0]",[0.4 0.1 0.5],49,5,1.2333333333333334,36.25,0.12570645558504542
40,yes,100,"[0.5, 0.5, 0.0]",[0.4 0.2 0.4],49,5,1.2333333333333334,36.25,0.1266006433644791
41,yes,100,"[0.5, 0.5, 0.0]",[0.4 0.3 0.3],49,5,1.25,36.166666666666664,0.12671986840173693
42,yes,100,"[0.5, 0.5, 0.0]",[0.4 0.4 0.2],49,5,1.25,36.166666666666664,0.13710022626430945
43,yes,100,"[0.5, 0.5, 0.0]",[0.4 0.5 0.1],49,5,1.25,36.166666666666664,0.136661049662223
44,yes,100,"[0.5, 0.5, 0.0]",[0.4 0.6 0. ],49,5,1.25,36.166666666666664,0.13664240317570614
45,yes,100,"[0.5, 0.5, 0.0]",[0.5 0.  0.5],49,5,1.2333333333333334,36.25,0.12570645558504542
46,yes,100,"[0.5, 0.5, 0.0]",[0.5 0.1 0.4],49,5,1.2333333333333334,36.25,0.12570645558504542
47,yes,100,"[0.5, 0.5, 0.0]",[0.5 0.2 0.3],49,5,1.2333333333333334,36.25,0.1266006433644791
48,yes,100,"[0.5, 0.5, 0.0]",[0.5 0.3 0.2],49,5,1.25,36.166666666666664,0.13710022626430945
49,yes,100,"[0.5, 0.5, 0.0]",[0.5 0.4 0.1],49,5,1.25,36.166666666666664,0.136661049662223
50,yes,100,"[0.5, 0.5, 0.0]",[0.5 0.5 0. ],49,5,1.25,36.166666666666664,0.1366319202211607
51,yes,100,"[0.5, 0.5, 0.0]",[0.6 0.  0.4],49,5,1.2333333333333334,36.25,0.12570645558504542
52,yes,100,"[0.5, 0.5, 0.0]",[0.6 0.1 0.3],49,5,1.2333333333333334,36.25,0.1266006433644791
53,yes,100,"[0.5, 0.5, 0.0]",[0.6 0.2 0.2],49,5,1.25,36.166666666666664,0.13710022626430945
54,yes,100,"[0.5, 0.5, 0.0]",[0.6 0.3 0.1],49,5,1.25,36.166666666666664,0.136661049662223
55,yes,100,"[0.5, 0.5, 0.0]",[0.6 0.4 0. ],49,5,1.25,36.166666666666664,0.1366319202211607
56,yes,100,"[0.5, 0.5, 0.0]",[0.7 0.  0.3],49,5,1.2333333333333334,36.25,0.12822789640837307
57,yes,100,"[0.5, 0.5, 0.0]",[0.7 0.1 0.2],49,5,1.25,36.166666666666664,0.12671986840173693
58,yes,100,"[0.5, 0.5, 0.0]",[0.7 0.2 0.1],49,5,1.25,36.166666666666664,0.136333180809764
59,yes,100,"[0.5, 0.5, 0.0]",[0.7 0.3 0. ],49,5,1.25,36.166666666666664,0.1366319202211607
60,yes,100,"[0.5, 0.5, 0.0]",[0.8 0.  0.2],49,5,1.2333333333333334,36.25,0.12822789640837307
61,yes,100,"[0.5, 0.5, 0.0]",[0.8 0.1 0.1],49,5,1.25,36.166666666666664,0.13321050942377294
62,yes,100,"[0.5, 0.5, 0.0]",[ 0.8  0.2 -0. ],49,5,1.2333333333333334,36.516666666666666,0.13489524547829293
63,yes,100,"[0.5, 0.5, 0.0]",[0.9 0.  0.1],49,5,1.25,36.166666666666664,0.133271984833609
64,yes,100,"[0.5, 0.5, 0.0]",[ 0.9  0.1 -0. ],49,5,1.2333333333333334,36.516666666666666,0.13561245859304702
