,rsu,TR,weights_s,weights_m,n_veh,n_buses,n_sav,n_chs,stab_eval
0,yes,300,"[0.9, 0.0, 0.1]",[0. 0. 1.],278,6,0.333333333,35.81666667,0.429951848
1,yes,300,"[0.9, 0.0, 0.1]",[0.  0.1 0.9],278,6,0.233333333,37.08333333,0.4112459
2,yes,300,"[0.9, 0.0, 0.1]",[0.  0.2 0.8],278,6,0.266666667,37.71666667,0.409346969
3,yes,300,"[0.9, 0.0, 0.1]",[0.  0.3 0.7],278,6,0.333333333,37.35,0.426899388
4,yes,300,"[0.9, 0.0, 0.1]",[0.  0.4 0.6],278,6,0.3,37.48333333,0.434991712
5,yes,300,"[0.9, 0.0, 0.1]",[0.  0.5 0.5],278,6,0.25,38.33333333,0.449004517
6,yes,300,"[0.9, 0.0, 0.1]",[0.  0.6 0.4],278,6,0.316666667,38.83333333,0.426120336
7,yes,300,"[0.9, 0.0, 0.1]",[0.  0.7 0.3],278,6,0.266666667,37.98333333,0.441011478
8,yes,300,"[0.9, 0.0, 0.1]",[0.  0.8 0.2],278,6,0.283333333,37.83333333,0.440588872
9,yes,300,"[0.9, 0.0, 0.1]",[0.  0.9 0.1],278,6,0.266666667,37.95,0.460574223
10,yes,300,"[0.9, 0.0, 0.1]",[0. 1. 0.],278,6,0.316666667,37.08333333,0.437256547
11,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.  0.9],278,6,0.333333333,35.45,0.424053924
12,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.1 0.8],278,6,0.233333333,37.08333333,0.411001483
13,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.2 0.7],278,6,0.233333333,37.08333333,0.420954079
14,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.3 0.6],278,6,0.3,37.4,0.447457598
15,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.4 0.5],278,6,0.3,37.58333333,0.446421005
16,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.5 0.4],278,6,0.35,38.98333333,0.449313236
17,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.6 0.3],278,6,0.283333333,37.95,0.442843999
18,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.7 0.2],278,6,0.266666667,37.65,0.443074439
19,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.8 0.1],278,6,0.266666667,37.93333333,0.449690025
20,yes,300,"[0.9, 0.0, 0.1]",[0.1 0.9 0. ],278,6,0.316666667,37.08333333,0.436966714
21,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.  0.8],278,6,0.333333333,35.45,0.426920125
22,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.1 0.7],278,6,0.216666667,38.35,0.405141006
23,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.2 0.6],278,6,0.25,38.36666667,0.424541216
24,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.3 0.5],278,6,0.283333333,37.96666667,0.44843998
25,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.4 0.4],278,6,0.35,38.13333333,0.447635133
26,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.5 0.3],278,6,0.283333333,37.95,0.449733098
27,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.6 0.2],278,6,0.283333333,38.01666667,0.444280912
28,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.7 0.1],278,6,0.266666667,37.93333333,0.450173765
29,yes,300,"[0.9, 0.0, 0.1]",[0.2 0.8 0. ],278,6,0.316666667,37.08333333,0.435476824
30,yes,300,"[0.9, 0.0, 0.1]",[0.3 0.  0.7],278,6,0.3,36.15,0.424504417
31,yes,300,"[0.9, 0.0, 0.1]",[0.3 0.1 0.6],278,6,0.25,37.91666667,0.409302106
32,yes,300,"[0.9, 0.0, 0.1]",[0.3 0.2 0.5],278,6,0.25,38.98333333,0.435421804
33,yes,300,"[0.9, 0.0, 0.1]",[0.3 0.3 0.4],278,6,0.283333333,38.28333333,0.443997606
34,yes,300,"[0.9, 0.0, 0.1]",[0.3 0.4 0.3],278,6,0.316666667,38.15,0.455259405
35,yes,300,"[0.9, 0.0, 0.1]",[0.3 0.5 0.2],278,6,0.283333333,38.16666667,0.449812419
36,yes,300,"[0.9, 0.0, 0.1]",[0.3 0.6 0.1],278,6,0.266666667,37.91666667,0.451242933
37,yes,300,"[0.9, 0.0, 0.1]",[0.3 0.7 0. ],278,6,0.283333333,37,0.438434674
38,yes,300,"[0.9, 0.0, 0.1]",[0.4 0.  0.6],278,6,0.3,36.15,0.424043248
39,yes,300,"[0.9, 0.0, 0.1]",[0.4 0.1 0.5],278,6,0.266666667,37.43333333,0.411823122
40,yes,300,"[0.9, 0.0, 0.1]",[0.4 0.2 0.4],278,6,0.233333333,37.9,0.422579599
41,yes,300,"[0.9, 0.0, 0.1]",[0.4 0.3 0.3],278,6,0.316666667,37.5,0.457016747
42,yes,300,"[0.9, 0.0, 0.1]",[0.4 0.4 0.2],278,6,0.283333333,37.78333333,0.456852409
43,yes,300,"[0.9, 0.0, 0.1]",[0.4 0.5 0.1],278,6,0.266666667,37.91666667,0.451934468
44,yes,300,"[0.9, 0.0, 0.1]",[0.4 0.6 0. ],278,6,0.266666667,36.83333333,0.437850108
45,yes,300,"[0.9, 0.0, 0.1]",[0.5 0.  0.5],278,6,0.316666667,36.15,0.430720341
46,yes,300,"[0.9, 0.0, 0.1]",[0.5 0.1 0.4],278,6,0.266666667,37.43333333,0.411410555
47,yes,300,"[0.9, 0.0, 0.1]",[0.5 0.2 0.3],278,6,0.266666667,38.36666667,0.442613295
48,yes,300,"[0.9, 0.0, 0.1]",[0.5 0.3 0.2],278,6,0.283333333,38.03333333,0.460041821
49,yes,300,"[0.9, 0.0, 0.1]",[0.5 0.4 0.1],278,6,0.3,37.78333333,0.45132553
50,yes,300,"[0.9, 0.0, 0.1]",[0.5 0.5 0. ],278,6,0.283333333,36.83333333,0.438080046
51,yes,300,"[0.9, 0.0, 0.1]",[0.6 0.  0.4],278,6,0.3,36.36666667,0.430923151
52,yes,300,"[0.9, 0.0, 0.1]",[0.6 0.1 0.3],278,6,0.166666667,38.28333333,0.44839569
53,yes,300,"[0.9, 0.0, 0.1]",[0.6 0.2 0.2],278,6,0.283333333,37.95,0.443610899
54,yes,300,"[0.9, 0.0, 0.1]",[0.6 0.3 0.1],278,6,0.283333333,37.65,0.453612138
55,yes,300,"[0.9, 0.0, 0.1]",[0.6 0.4 0. ],278,6,0.283333333,37.01666667,0.436486267
56,yes,300,"[0.9, 0.0, 0.1]",[0.7 0.  0.3],278,6,0.233333333,36.51666667,0.445271105
57,yes,300,"[0.9, 0.0, 0.1]",[0.7 0.1 0.2],278,6,0.216666667,37.28333333,0.444606261
58,yes,300,"[0.9, 0.0, 0.1]",[0.7 0.2 0.1],278,6,0.25,37.73333333,0.454573902
59,yes,300,"[0.9, 0.0, 0.1]",[0.7 0.3 0. ],278,6,0.266666667,37.05,0.437160516
60,yes,300,"[0.9, 0.0, 0.1]",[0.8 0.  0.2],278,6,0.216666667,36.88333333,0.45022961
61,yes,300,"[0.9, 0.0, 0.1]",[0.8 0.1 0.1],278,6,0.266666667,38.1,0.44563555
62,yes,300,"[0.9, 0.0, 0.1]",[ 0.8  0.2 -0. ],278,6,0.266666667,37.88333333,0.441791201
63,yes,300,"[0.9, 0.0, 0.1]",[0.9 0.  0.1],278,6,0.283333333,36.75,0.450833292
64,yes,300,"[0.9, 0.0, 0.1]",[ 0.9  0.1 -0. ],278,6,0.25,37.53333333,0.439088277
65,yes,300,"[0.9, 0.0, 0.1]",[1. 0. 0.],278,6,0.216666667,35.68333333,0.434372842
